City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,shevchenko,48.5,35.0,6.86,73,100,2.28,UA,1683688521
83,bhimunipatnam,17.8833,83.4333,30.73,63,100,1.55,IN,1683688521
84,brisas de zicatela,15.8369,-97.0419,30.29,62,40,1.54,MX,1683688244
85,wailua homesteads,22.0669,-159.378,25.44,73,75,7.72,US,1683688160
86,nachingwea,-10.3833,38.7667,17.65,95,23,0.81,TZ,1683688522
87,west island,-12.1568,96.8225,27.66,82,84,9.22,CC,1683688151
88,maintirano,-18.0667,44.0167,23.61,83,49,3.96,MG,1683688245
89,purna,19.1833,77.05,31.94,41,91,4.18,IN,1683688523
90,port lincoln,-34.7333,135.8667,16.54,66,21,5.04,AU,1683688194
91,aasiaat,68.7098,-52.8699,-7.9,85,19,0.97,GL,1683688154
92,bamboo flat,11.7,92.7167,29.65,76,98,9.88,IN,1683688233
93,raisio,60.4859,22.169,5.46,87,0,2.24,FI,1683688524
94,varna,43.2167,27.9167,6.6,95,98,1.54,BG,1683688524
95,kerikeri,-35.2268,173.9474,17.73,80,40,1.79,NZ,1683688196
96,glace bay,46.1969,-59.957,2.66,81,45,4.02,CA,1683688525
97,georgetown,5.4112,100.3354,32.96,74,20,1.54,MY,1683687981
98,bandon,51.7469,-8.7425,10.77,80,100,5.82,IE,1683688525
99,newman,37.3138,-121.0208,19.19,39,85,2.68,US,1683688526
100,ribeira grande,38.5167,-28.7,18.21,97,100,7.6,PT,1683688161
101,tazovsky,67.4667,78.7,-7.53,93,100,5.95,RU,1683688153
102,grass valley,39.2191,-121.0611,14.26,68,0,0.45,US,1683688527
103,dawesville,30.9224,-84.0091,26.23,88,0,2.57,US,1683688527
104,lamarque,-39.423,-65.7021,12.22,54,2,3.67,AR,1683688527
105,namibe,-15.1961,12.1522,23.44,83,2,2.0,AO,1683688155
106,punta del este,-34.9667,-54.95,14.37,86,75,3.13,UY,1683688272
107,beyneu,45.3167,55.2,19.75,54,38,5.53,KZ,1683688528
108,el calafate,-50.3408,-72.2768,4.26,84,80,1.51,AR,1683688528
109,bayanhongor,46.7167,100.1167,4.31,47,86,2.83,MN,1683688528
110,lompoc,34.6391,-120.4579,14.32,82,20,4.63,US,1683688163
111,hadibu,12.65,54.0333,27.8,69,99,0.45,YE,1683688221
112,whangarei,-35.7317,174.3239,15.56,71,80,5.53,NZ,1683688382
113,worcester,42.3334,-71.8328,9.18,71,0,3.6,US,1683687998
114,huesca,42.1362,-0.4087,11.14,63,0,6.17,ES,1683688530
115,gulf shores,30.246,-87.7008,23.92,78,0,0.45,US,1683688262
116,fergus falls,46.283,-96.0776,13.99,88,75,5.66,US,1683688531
117,tripoli,32.8752,13.1875,17.59,85,51,10.11,LY,1683688531
118,labytnangi,66.6572,66.4183,-1.62,86,97,0.49,RU,1683688196
119,pisco,-13.7,-76.2167,20.03,83,75,4.63,PE,1683687849
120,lewistown,40.5992,-77.5714,12.41,54,0,0.0,US,1683688532
121,freetown,8.484,-13.2299,24.62,91,99,4.21,SL,1683688528
122,albany,42.6001,-73.9662,10.23,70,4,2.01,US,1683687927
123,tirumullaivasal,11.2333,79.8333,29.97,67,100,2.1,IN,1683688533
124,sitka,57.0531,-135.33,9.94,66,0,1.54,US,1683688533
125,arnprior,45.4334,-76.3494,10.19,69,1,0.67,CA,1683688479
126,itatiaia,-22.4961,-44.5633,19.95,99,100,0.61,BR,1683688533
127,ebon,4.582,168.6964,28.45,80,68,6.1,MH,1683688534
128,murzuq,25.9155,13.9184,17.54,48,0,5.86,LY,1683688534
129,mudbidri,13.0833,74.9833,28.79,79,20,2.06,IN,1683688535
130,eaglehawk,-36.7333,144.25,16.98,54,0,2.47,AU,1683688535
131,khandyga,62.6667,135.6,6.39,38,83,3.84,RU,1683688535
132,chibougamau,49.9168,-74.3659,3.38,56,76,2.37,CA,1683688187
133,magadi,12.9667,77.2333,25.23,69,100,1.57,IN,1683688536
134,carutapera,-1.195,-46.02,24.74,92,94,2.28,BR,1683687942
135,kodiak,57.79,-152.4072,5.73,87,100,9.26,US,1683688154
136,merritt,50.1123,-120.7942,12.96,68,97,0.89,CA,1683688537
137,ancud,-41.8697,-73.8203,10.8,95,87,2.02,CL,1683688148
